reviews,reviews_clean,labels,labels_name
So there is no way for me to plug it in here in the US unless I go by a converter.,no way plug us unless go converter,0,Bad
"Good case, Excellent value.",good case excel value,1,Good
Great for the jawbone.,great jawbone,1,Good
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,tie charger convers last minutes major problems,0,Bad
The mic is great.,mic great,1,Good
I have to jiggle the plug to get it to line up right to get decent volume.,jiggl plug get line right get decent volume,0,Bad
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",sever dozen sever hundr contacts imagin fun send one one,0,Bad
If you are Razr owner...you must have this!,razr owner must,1,Good
"Needless to say, I wasted my money.",needless say wast money,0,Bad
What a waste of money and time!.,wast money time,0,Bad
And the sound quality is great.,sound qualiti great,1,Good
He was very impressed when going from the original battery to the extended battery.,wa veri impress go origin batteri extend battery,1,Good
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,two seper mere ft start notic excess static garbl sound headset,0,Bad
Very good quality though,veri good qualiti though,1,Good
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",design veri odd ear clip not veri comfort,0,Bad
Highly recommend for any one who has a blue tooth phone.,highli recommend ani one ha blue tooth phone,1,Good
I advise EVERYONE DO NOT BE FOOLED!,advis everyon not fooled,0,Bad
So Far So Good!.,far good,1,Good
Works great!.,work great,1,Good
It clicks into place in a way that makes you wonder how long that mechanism would last.,click place way make wonder long mechan would last,0,Bad
"I went on Motorola's website and followed all directions, but could not get it to pair again.",went motorola websit follow directions could not get pair,0,Bad
I bought this to use with my Kindle Fire and absolutely loved it!,bought thi use kindl fire absolut love,1,Good
The commercials are the most misleading.,commerci misleading,0,Bad
I have yet to run this new battery below two bars and that's three days without charging.,yet run thi new batteri two bar three day without charging,1,Good
I bought it for my mother and she had a problem with the battery.,bought mother problem battery,0,Bad
Great Pocket PC / phone combination.,great pocket pc phone combination,1,Good
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,thi phone month say best mobil phone,1,Good
I didn't think that the instructions provided were helpful to me.,not think instruct provid help,0,Bad
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,peopl couldnt hear talk pull earphon talk phone,0,Bad
Doesn't hold charge.,doe not hold charge,0,Bad
"This is a simple little phone to use, but the breakage is unacceptible.",thi simpl littl phone use breakag unacceptible,0,Bad
This product is ideal for people like me whose ears are very sensitive.,thi product ideal peopl like whose ear veri sensitive,1,Good
It is unusable in a moving car at freeway speed.,unus move car freeway speed,0,Bad
I have two more years left in this contract and I hate this phone.,two year left thi contract hate thi phone,0,Bad
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,car charger well ac charger includ make sure never run juice highi recommend,1,Good
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,need least min get phone book time first turn phone batteri life short,0,Bad
It has kept up very well.,ha kept veri well,1,Good
Poor Talk Time Performance.,poor talk time performance,0,Bad
The case is great and works fine with the 680.,case great work fine,1,Good
worthless product.,worthless product,0,Bad
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",ha great camera mp pic nice clear great pictur quality,1,Good
I was not impressed by this product.,wa not impress thi product,0,Bad
Nice headset priced right.,nice headset price right,1,Good
I only hear garbage for audio.,onli hear garbag audio,0,Bad
Excellent bluetooth headset.,excel bluetooth headset,1,Good
It has all the features I want,ha featur want,1,Good
Who in their right mind is gonna buy this battery?.,right mind gonna buy thi battery,0,Bad
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,argu verizon regard drop call return phone two days,0,Bad
This case seems well made.,thi case seem well made,1,Good
Disappointed with battery.,disappoint battery,0,Bad
Not loud enough and doesn't turn on like it should.,not loud enough doe not turn like,0,Bad
good protection and does not make phone too bulky.,good protect doe not make phone bulky,1,Good
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,usabl keyboard actual turn pda realworld use machin instead neat gadget,1,Good
This phone is pretty sturdy and I've never had any large problems with it.,thi phone pretti sturdi never ani larg problem,1,Good
I love this thing!,love thi thing,1,Good
